hotel_id,hotel_name,description,review,score,price,country,city,location,image,amenities
84,Riad Spa Sindibad,"Le Riad Spa Sindibad est situé dans la médina de Marrakech, à 50 mètres de la porte Bab Yacout. Il propose un hammam et un patio doté d'une piscine.Les hébergements climatisés disposent d'une salle de bains privative et d'une connexion Wi-Fi gratuite.Un petit-déjeuner copieux et varié est servi tous les matins. Des plats traditionnels marocains peuvent être préparés sur demande par le chef de l'établissement avec des produits frais du marché.Le spa, comportant un hammam, dispense des massages et des soins de beauté.Ce riad est à 900 mètres du jardin Majorelle et à 25 minutes de la célèbre place Jemaa el-Fna.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,0 pour un séjour en solo.Nous parlons votre langue !",842,9.1,314,Maroc,Marrakech,"411, Derb Sidi Messaoud, Arset Ihiri, Bab Yacout(Bab Doukkala), Médina, 40000 Marrakech, Maroc",84.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Restaurant | Service d'étage | Bar | Superbe petit-déjeuner
85,Palais Khum,"Doté d'une piscine intérieure chauffée et d'un centre de bien-être, le Palais Khum vous accueille à 10 minutes à pied de la place Jamaâ el Fna et à 5 minutes de route du jardin Majorelle. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de son enceinte.Les chambres du Palais Khum sont spacieuses et climatisées. Elles comprennent toutes un coin salon, un dressing et la télévision par satellite, ainsi qu'une salle de bains privative avec douche ou baignoire.Vous pourrez déguster des plats locaux et internationaux au restaurant de l'établissement.La maison d'hôtes se trouve à 1 km du palais de la Bahia et à 2 km du palais de la Conférence. Son personnel peut organiser des visites guidées et des excursions. Un parking public est disponible à proximité moyennant un supplément.L'aéroport de Marrakech-Ménara est à 8 km. Le Palais Khum peut assurer un service de navette vers celui-ci.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour en solo.Nous parlons votre langue !",314,9.3,1396,Maroc,Marrakech,"2 Derb El Hammaria Dar El Bacha, Medina , Médina, 40 000 Marrakech, Maroc ",85.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Restaurant | Service d'étage | Bar | Superbe petit-déjeuner
86,L'OLIVERAIE DE L'ATLAS,"Situé à Marrakech, à 12 km du palais de la Bahia, l’établissement L'Oliveraie de l'Atlas dispose d’un restaurant, d’un espace de stationnement privé gratuit, d’une piscine extérieure, d’un bar et d’un salon commun. Toutes les chambres climatisées comprennent une connexion Wi-Fi incluse et 1 salle de bains privative. Cette maison d’hôtes 4 étoiles propose également une réception ouverte 24h/24 ainsi que des service de change et d’étage.Les chambres de la maison d’hôtes L'Oliveraie de l'Atlas s’ouvrent sur une terrasse avec vue sur le jardin. Chacune est équipée d'une télévision par satellite à écran plat.Cet établissement vous propose un petit-déjeuner continental ou sous forme de buffet tous les matins.La maison d’hôtes L'Oliveraie de l'Atlas possède également un jacuzzi et une terrasse. Un service de location de voitures est assuré sur place, tandis que vous aurez la possibilité de faire du vélo dans les environs.La maison d’hôtes se trouve à 12 km du musée Yves-Saint-Laurent et à 13 km du jardin Majorelle. Enfin, moyennant des frais supplémentaires, vous profiterez d’un service de navette pour l’aéroport de Marrakech-Ménara, le plus proche, accessible à 13 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour en solo.Nous parlons votre langue !",573,8.9,852,Maroc,Marrakech," km 9 route de Ouarzazate, 40000 Marrakech, Maroc ",86.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Restaurant | Parking gratuit | Bar | Très bon petit-déjeuner
87,Villa Al Assala Palmeraie,"Situé dans la Palmeraie de Marrakech, à 10 minutes seulement de la place Jamaa-el-Fna, la Villa Al Assala vous accueille dans un cadre verdoyant et dispose d'une piscine.Choisissez l'une des 10 spacieuses suites junior de la Villa Al Assala, situées au cœur du parc. Les chambres ont un style moderne agrémenté d'une touche marocaine. Chaque chambre dispose d'une terrasse privative.Pendant votre séjour à la Villa Al Assala, savourez de délicieuses spécialités marocaines ou internationales servies sur demande.La Villa Al Assala est le choix idéal pour un séjour de détente à 10 minutes de Marrakech. Elle vous propose un hammam traditionnel, un salon accueillant doté d'une cheminée et d'une télévision à écran plasma, ainsi qu'une piscine en plein air.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour en solo.Nous parlons votre langue !",137,8.6,1458,Maroc,Marrakech,"Route De Fes, Kilomètre 4 , Palmeraie, 40000 Marrakech, Maroc",87.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Restaurant | Service d'étage | Parking gratuit | Bar | Bon petit-déjeuner
88,Coco Canel Marrakech,"Situé à 10 minutes de route de la place Jemaa el-Fna, le Coco Canel Marrakech affiche une décoration de style marocain traditionnelle et possède une piscine chauffée, un patio avec une fontaine et une terrasse avec des chaises longues.Offrant une vue sur le jardin, les chambres et les suites du Coco Canel Marrakech disposent de la climatisation, d’un coin salon et du chauffage à réglage individuel. Leur salle de bains privative est pourvue d’articles de toilette gratuits.Un petit-déjeuner marocain traditionnel est servi quotidiennement. Le restaurant prépare une cuisine marocaine et française. Un bar et un snack-bar vous accueillent également sur place.Installé à 15 minutes de route de l’aéroport de Marrakech, le Coco Canel Marrakech peut organiser des activités et des excursions dans les environs. Il propose également des massages et un service de navette aéroport.Nous parlons votre langue !",102,8.3,925,Maroc,Marrakech,"Km 4 Route de l'Ourika , 40000 Marrakech, Maroc",88.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Restaurant | Parking gratuit | Bar | Bon petit-déjeuner
89,Villa Le Perroquet Bleu,"Située à Marrakech, la Villa Le Perroquet Bleu Palmeraie possède un restaurant, une piscine extérieure et propose un hébergement indépendant doté d'une connexion Wi-Fi gratuite. Elle se trouve à 10 km du palais de Bahia et à 8 km de la médersa Ben Youssef.Cette villa climatisée dispose d'une terrasse, d'un coin salon et d'une table à manger. Sa salle de bains privative est pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux. Vous pourrez profiter d'une vue sur la piscine et le jardin depuis la chambre. Cet hébergement comprend également un canapé et un coffre-fort, et le linge de lit est fourni.La réception de la Villa Far El Faracha est ouverte 24h/24, et vous pourrez profiter d'un jardin ainsi que d'une terrasse sur place. Un salon commun, un bureau d'excursions et un parking gratuit sont par ailleurs à votre disposition.Si vous souhaitez partir à la découverte des environs, vous pourrez vous rendre au musée de Marrakech et à Jemaa el-Fna, situés à 10 km. L'aéroport de Marrakech-Ménara se trouve à 19 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour en solo.Nous parlons votre langue !",208,8.7,782,Maroc,Marrakech,"Douar Matrane La palmeraie, 40000 Marrakech, Maroc",89.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Équipements pour les personnes handicapées | Restaurant | Bar | Bon petit-déjeuner
90,Sirayane Boutique Hotel & Spa Marrakech,"Installé dans un parc de 2 hectares, le Sirayane Boutique Hotel & Spa Marrakech vous accueille à 4,2 km de la place Jemaâ El Fna, face à l’Atlas. Ce boutique hôtel possède des hébergements de luxe, un spa et des piscines extérieures chauffées ouvertes toute l'année.Dotés d’une terrasse ou d’un jardin privés, tous les logements comprennent la climatisation, une connexion Wi-Fi gratuite, une télévision à écran plat, un lecteur DVD et un minibar. Certaines suites bénéficient d’une piscine privée chauffée.Entouré de 9 parcours de golf, le Sirayane Boutique Hotel & Spa propose un hammam, ainsi que des soins de beauté et de massage. Vous pourrez profiter gratuitement de la salle de sport ou du court de padel. Vous disposerez aussi d’une bibliothèque avec livres et DVD.Le restaurant sert des spécialités marocaines et internationales pour le déjeuner et le dîner. De plus, vous aurez l’occasion de vous détendre avec un cocktail au bar en admirant la vue sur les montagnes de l’Atlas.L'hôtel se trouve à 4,4 km de l'aéroport de Marrakech-Ménara. Par ailleurs, une navette gratuite dessert la place Jemaa el-Fna 7 fois par jour. Enfin, vous profiterez d’un parking gratuit sur place. Un service de navette aéroport peut être organisé moyennant des frais supplémentaires.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour en solo.Nous parlons votre langue !",654,9.1,2110,Maroc,Marrakech,"Kilomètre 8 route d'Amezmiz, 40000 Marrakech, Maroc",90.jpg,2 piscines | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Salle de sport fabuleux | Connexion Wi-Fi gratuite | Équipements pour les personnes handicapées | Plateau/bouilloire dans tous les hébergements | Bar | Superbe petit-déjeuner
91,Es Saadi Marrakech Resort - Palace,"Situé dans un parc de 8 hectares au cœur du luxueux quartier de l'Hivernage, à 5 minutes de marche de la vieille ville de Marrakech, l'établissement Es Saadi Marrakech Resort - Palace dispose d'un spa de 3 000 m², d'une piscine extérieure de 2 400 m², de 2 bars ainsi que de 4 restaurants, dont un servant des plats de la gastronomie marocaine.Faisant face aux magnifiques sommets enneigés du mont Atlas, l'établissement The Palace affiche une décoration somptueuse créée par des maîtres artisans marocains. Il propose 92 suites spacieuses, 10 villas privées ainsi que 8 ksars en duplex, tous aménagés luxueusement.Conçues dans un style architectural oriental, les villas spacieuses et lumineuses comportent un charmant jardin exotique. Elles comprennent également une piscine chauffée en hiver.La discothèque Theatro est idéale pour vous divertir en soirée. Le Casino de Marrakech est installé sur place. De plus, l'Es Saadi Marrakech Resort - Palace possède une salle de sport, un club pour enfants ainsi qu'un court de tennis.L'établissement assure un service de navette aéroport sur demande.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour en solo.Nous parlons votre langue !",491,9.0,3561,Maroc,Marrakech,"Rue Ibrahim El Mazini Hivernage, L’Hivernage, 40000 Marrakech, Maroc",91.jpg,2 piscines | Navette aéroport (gratuite) | Spa et centre de bien-être | Chambres non-fumeurs | Connexion Wi-Fi gratuite | Parking gratuit | Service d'étage | Bar  Superbe petit-déjeuner
92,Savoy Le Grand Hotel Marrakech,"Le Savoy Le Grand Hotel est situé à Marrakech, à 500 mètres des jardins de la Ménara. Cet hôtel propose une piscine extérieure, un barbecue et une connexion Wi-Fi gratuite dans tous ses locaux.Les chambres sont équipées d'une télévision à écran plat. Certaines disposent d'un coin salon pour se détendre après une journée bien remplie. D'autres comportent un balcon ou une terrasse. Toutes comprennent une salle de bains privative. Un sèche-cheveux, des chaussons et des articles de toilette gratuits sont fournis pour votre confort.Le Savoy Le Grand Hotel met également à votre disposition un bar.Par ailleurs, l'établissement possède une réception ouverte 24h/24, un salon de coiffure et une boutique de souvenirs. Vous bénéficierez d'un parking privé gratuit sur place.L'hôtel se trouve à 1,2 km du Conference Palace et à 2,2 km du Marrakech Plaza. Enfin, l'aéroport de Marrakech-Ménara est accessible à 2 km.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour en solo.Nous parlons votre langue !",3967,8.1,2114,Maroc,Marrakech,"Avenue de la ménara BP 528, Marrakech, L’Hivernage, 40000 Marrakech, Maroc",92.jpg,2 piscines | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Salle de sport bien | Connexion Wi-Fi gratuite | Équipements pour les personnes handicapées | Bar | Très bon petit-déjeuner
93,The Pearl Marrakech,"Le Pearl Marrakech dispose d'une piscine sur le toit, de 3 restaurants et d'un bar-salon doté d'une galerie d'art. Lors de votre séjour, vous pourrez découvrir les boutiques de luxe sur place, ou visiter le palais royal et la place Jamaâ El Fna en 15 minutes de marche.Affichant une décoration aux influences orientales, les chambres et les suites élégantes de l'établissement The Pearl Marrakech comprennent un balcon privé, un coin salon ainsi qu'une salle de bains privative pourvue de peignoirs et de chaussons.Cet hôtel 5 étoiles vous servira tous les matins des viennoiseries et des gâteaux faits maison au petit-déjeuner. Vous pourrez également déguster des spécialités italiennes, françaises et marocaines sur les terrasses, tout en admirant la vue panoramique.Accessible moyennant des frais supplémentaires, le spa du Pearl Marrakech vous prodiguera des soins de beauté et comporte un hammam ainsi qu'un sauna. Vous pourrez stationner gratuitement sur place. L'aéroport de Marrakech-Menara se trouve à 13 minutes en voiture de l'hôtel.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour en solo.Nous parlons votre langue !",327,8.5,2481,Maroc,Marrakech,"3 , Rue des Temples, quartier hivernage, L’Hivernage, 40000 Marrakech, Maroc",93.jpg,2 piscines | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Salle de sport fabuleux | Connexion Wi-Fi gratuite | Équipements pour les personnes handicapées | Plateau/bouilloire dans tous les hébergements | Bar | Bon petit-déjeuner
